grill,private entrance,free parking,review_scores_location,resort access,review_scores_rating,bedrooms,beds,pool,host_acceptance_rate,reviews_per_month,minimum_maximum_nights,minimum_minimum_nights,bathrooms,neighbourhood_cleansed_num,accommodates,hot tub,fireplace,price,id,host_is_superhost,prop_Entire condo,prop_Entire guest suite,prop_Entire guesthouse,prop_Entire home,prop_Entire rental unit,prop_Entire townhouse,prop_Hotel,prop_Private room,room_Entire home/apt,room_Private room
0,0,0,4.92,0,4.95,1,1,0,0,3.91,365,30,1,6,1,0,0,43,6422,0,0,0,0,0,0,0,0,1,0,1
0,0,1,4.94,0,4.94,1,1,0,93,4.52,1125,1,1,25,2,0,0,70,39870,0,0,0,0,0,0,0,0,1,0,1
0,0,0,4.96,0,4.91,2,2,0,100,4.71,1125,2,1,18,2,0,0,109,72906,1,0,0,0,0,1,0,0,0,1,0
0,0,1,4.74,0,4.77,1,2,0,91,0.68,365,30,1,12,2,0,2,39,258817,0,0,0,0,0,0,0,0,1,0,1
0,0,1,4.47,0,4.71,1,3,0,91,0.54,365,30,1,12,1,1,1,33,289242,0,0,0,0,0,0,0,0,1,0,1
0,1,1,4.62,0,4.73,1,5,0,91,0.35,365,30,1,12,3,1,2,45,319705,0,0,0,0,0,0,0,0,1,0,1
0,1,1,4.6,0,4.89,1,1,0,100,9.27,7,1,1,19,2,0,0,119,329997,1,0,0,1,0,0,0,0,0,1,0
0,0,1,4.64,0,4.84,1,3,0,91,0.57,365,30,1,12,3,1,1,32,340081,0,0,0,0,0,0,0,0,1,0,1
0,0,1,4.68,0,4.86,1,1,0,98,2.3,4,1,1,6,2,0,0,96,395889,0,0,0,0,0,0,0,0,1,0,1
0,0,1,4.77,0,4.95,1,1,0,100,7.38,7,1,1,19,2,0,0,120,430052,1,0,1,0,0,0,0,0,0,1,0
0,1,1,4.43,0,4.88,2,2,0,100,3.65,1125,2,2.5,19,4,1,1,339,431258,1,0,0,0,1,0,0,0,0,1,0
0,0,1,4.52,0,4.7,1,2,0,0,0.22,30,2,1,14,4,0,1,90,513664,0,0,0,0,0,0,0,0,1,0,1
0,0,1,4.75,0,4.97,1,1,0,100,3.16,60,2,1.5,19,2,0,0,181,632636,1,0,0,0,0,1,0,0,0,1,0
0,0,0,4.79,0,4.81,1,1,0,100,1.24,100,1,1,6,2,0,0,125,637425,0,0,0,0,0,0,0,0,1,0,1
0,0,1,4.71,0,4.86,1,1,0,75,0.41,1125,30,1,6,1,0,0,37,645985,0,0,0,0,0,0,0,0,1,0,1
0,1,0,4.88,0,4.87,1,3,0,100,3.35,1125,2,1,19,2,0,0,126,648088,0,0,0,0,0,0,0,0,1,0,1
0,0,1,4.88,0,4.93,1,1,0,89,2.5,10,3,1,6,2,0,0,149,674159,1,0,1,0,0,0,0,0,0,1,0
0,1,1,4.84,0,4.96,1,1,0,99,5.03,21,1,1,7,2,0,0,121,681880,1,0,0,1,0,0,0,0,0,1,0
0,0,1,4.92,0,4.81,1,1,0,100,0.97,14,2,1,18,2,0,0,114,859206,0,0,0,0,0,0,0,0,1,0,1
0,1,1,4.68,0,4.72,1,4,1,100,2.95,90,1,1,19,6,0,0,250,914787,1,0,0,0,0,1,0,0,0,1,0
0,0,1,0,0,0,1,1,0,100,0.02,4,2,1,24,2,0,0,250,980344,0,0,0,0,0,0,0,0,1,0,1
0,1,1,4.94,0,4.98,1,1,0,99,4.58,1125,2,1,6,3,0,0,88,1006989,1,0,1,0,0,0,0,0,0,1,0
0,1,1,4.92,0,4.94,2,3,0,100,1.95,1125,3,1,7,4,0,0,111,1009550,0,0,0,0,1,0,0,0,0,1,0
1,0,1,5,0,5,2,3,0,60,0.22,60,3,2.5,18,6,0,1,750,1206512,0,0,0,0,1,0,0,0,0,1,0
0,1,0,4.94,0,4.86,1,1,0,95,1.87,1125,3,1,19,2,0,0,140,1209395,0,1,0,0,0,0,0,0,0,1,0
1,0,1,4.54,0,4.55,1,1,0,0,1.17,365,14,1,19,2,0,0,82,1468175,0,0,0,0,0,0,0,0,1,0,1
1,0,1,4.36,0,4.4,1,1,0,0,0.64,300,1,1,17,3,0,0,72,1469884,0,0,0,0,0,0,0,0,1,0,1
0,1,1,4.82,0,4.92,1,1,0,100,2.39,1125,2,1,6,2,0,0,121,1537921,1,0,0,1,0,0,0,0,0,1,0
0,1,1,4.94,0,4.88,1,2,0,98,4.26,365,1,1,18,4,0,0,113,1546787,0,0,0,1,0,0,0,0,0,1,0
0,0,1,5,0,4.97,4,8,0,89,0.68,360,3,2.5,7,12,1,1,699,1557535,0,0,0,0,1,0,0,0,0,1,0
1,0,1,4.9,0,4.89,3,3,0,100,0.61,1125,2,2.5,6,6,0,1,425,1583339,1,0,0,0,1,0,0,0,0,1,0
1,0,1,4.92,0,4.84,2,2,0,100,0.99,1125,2,1.5,6,4,0,1,160,1583557,1,0,0,0,1,0,0,0,0,1,0
0,1,1,4.96,0,4.87,1,1,0,97,3.2,1125,2,1,6,2,0,0,98,1584280,1,0,0,1,0,0,0,0,0,1,0
0,1,1,4.96,0,4.93,1,1,0,100,1.14,180,30,1.5,6,2,0,1,70,1587240,1,0,0,0,0,0,0,0,1,0,1
0,0,1,4.65,0,4.25,1,2,0,97,2.86,1125,1,1,7,6,0,0,81,1625117,0,0,0,0,0,1,0,0,0,1,0
0,0,1,4.84,0,4.9,1,1,0,0,1.26,1125,4,1,17,2,0,0,90,1640655,0,0,0,0,0,0,0,0,1,0,1
1,1,1,4.9,0,4.91,2,2,0,92,1.1,1125,1,1,6,6,0,1,181,1661560,1,0,0,0,0,1,0,0,0,1,0
1,1,1,4.85,1,4.94,1,3,1,96,4.44,1125,1,1,7,6,0,0,141,1793477,1,0,0,0,1,0,0,0,0,1,0
0,0,1,4.4,0,4.77,3,4,0,97,1.47,1125,1,2,21,10,0,0,353,1840652,1,0,0,0,1,0,0,0,0,1,0
0,0,1,4.85,0,4.91,1,1,0,99,3.37,1125,1,1,7,2,0,0,68,1954040,0,0,0,0,0,0,0,0,1,0,1
0,1,1,4.71,0,4.84,2,2,0,97,5.29,1125,1,1.5,19,5,0,0,128,2083878,1,0,1,0,0,0,0,0,0,1,0
0,1,1,4.68,0,4.98,1,1,0,100,3.78,1125,2,1,6,4,0,0,134,2138177,1,0,1,0,0,0,0,0,0,1,0
1,0,1,4.96,0,4.94,3,4,0,100,5.11,1125,1,2,6,10,0,1,216,2181743,1,0,0,0,1,0,0,0,0,1,0
1,0,1,4.76,0,4.86,4,5,0,95,1.7,1125,1,3,6,12,0,1,392,2247632,1,0,0,0,1,0,0,0,0,1,0
1,1,1,4.9,0,4.92,1,1,0,99,5.85,20,2,1,5,2,1,0,94,2261942,0,0,0,0,0,0,0,0,1,0,1
1,0,1,5,0,5,3,3,0,100,0.07,1125,3,3,24,6,0,1,550,2273933,0,0,0,0,1,0,0,0,0,1,0
1,1,1,4.92,0,4.93,3,5,0,99,3.26,1125,2,3,6,10,0,0,224,2316288,1,0,0,0,1,0,0,0,0,1,0
0,1,1,4.94,0,4.96,1,1,0,100,0.43,180,30,1,6,2,0,0,70,2372334,1,0,0,0,0,0,0,0,1,0,1
1,0,1,4.96,0,4.99,4,4,0,100,0.73,1125,3,3,18,8,0,1,706,2396505,1,0,0,0,1,0,0,0,0,1,0
0,0,1,4.88,0,4.96,2,2,0,100,0.89,180,30,1,19,4,0,0,105,2479230,1,0,0,0,0,1,0,0,0,1,0
0,0,1,5,0,4.67,1,1,0,98,0.03,365,30,1,12,1,0,0,35,2521338,0,0,0,0,0,0,0,0,1,0,1
1,1,1,4.87,0,4.75,5,6,0,95,1.43,1125,1,3,18,12,1,0,658,2577619,0,0,0,0,1,0,0,0,0,1,0
0,1,1,4.92,0,4.94,1,1,0,98,2.36,365,2,1,6,4,0,0,126,2581896,1,0,0,0,0,1,0,0,0,1,0
0,0,1,4.9,0,4.71,3,3,0,100,0.19,365,30,2,15,6,0,1,300,2590492,1,0,0,0,1,0,0,0,0,1,0
0,1,1,4.9,0,4.95,1,1,0,98,2.47,1125,2,1,6,4,0,0,153,2694882,1,0,0,0,0,1,0,0,0,1,0
0,1,0,4.99,0,4.93,1,2,0,97,1.96,365,2,1.5,19,4,0,0,297,2699594,1,1,0,0,0,0,0,0,0,1,0
0,0,1,4.6,0,4.73,1,1,0,91,0.1,365,30,1,12,1,0,1,32,2710049,0,0,0,0,0,0,0,0,1,0,1
0,1,1,4.91,0,4.74,2,3,0,95,1.94,1125,2,2,18,6,1,1,149,2726453,0,0,0,0,1,0,0,0,0,1,0
0,1,1,4.71,0,4.74,2,2,0,41,0.85,180,30,1,7,4,0,0,110,2743820,0,0,0,0,1,0,0,0,0,1,0
1,0,1,5,0,5,1,2,0,100,1.25,30,2,1,24,4,0,0,137,2802925,0,0,1,0,0,0,0,0,0,1,0
